"Compound","Tanimoto_SC_ref0_AB","Tanimoto_SC_ref1_AB","Tversky_SC_ref0_AB","Tversky_SC_ref1_AB","Carbó_SC_ref0_AB","Carbó_SC_ref1_AB","Structure of SMILES [idcode]","SMILES"
"decoy_3456","0.450277","0.553773","0.686514","0.736953","0.454829","0.505899","fb}i@@L\D{HLdTTRbRNtRUARMjr\t@D@EUTD@@","c1ccc2c(c1)Nc1cc(N3CCNCC3)nnc1O2"
"decoy_3457","0.288047","0.348454","0.653416","0.651538","0.343632","0.361742","fhya@@D@RYYe[whIUoAZ`h@@HHDP@","O=C1N[C@H](c2ccccc2)Cc2ccccc21"
"decoy_3458","0.408411","0.549905","0.63808","0.731474","0.475112","0.548422","foAq@@DXlCHhdhdeBiJlyjjjjj`I@@","O=C(NC[C@H]1CCNC1)NC1CCCC1"
"decoy_3459","0.357924","0.387058","0.667042","0.648697","0.389578","0.401657","flepb@LRTHp@aJY}m[e\TbffVZf@B@Pi@","O=C(/C=C/c1nccs1)NNC(=O)c1ccccc1"
"decoy_346","0.334042","0.378405","0.701169","0.69011","0.378562","0.386408","fbmQ@@HJ@eJlsJk^ZKdasSP@@@@@@`b@","C(=N/OCc1cccc2cccnc12)\c1ccccc1"
"decoy_3460","0.335056","0.387601","0.506699","0.597163","0.388291","0.435318","fnki@@DT]xHLbbRbaRffTrRYsU`qjujjjjZjjihJ`@","O=C(C[N@]1CCC[C@H](c2nnc3n2CCCCC3)C1)NC1CC1"
"decoy_3461","0.387181","0.330762","0.595223","0.500705","0.400267","0.354596","fewPr@LV`aNZc@DYIHUDdhiddiidUNBUKQsVhH@`Jaj`h@@","O=C1COc2ccc(S(=O)(=O)NCc3ccc4c(c3)OCCO4)cc2N1"
"decoy_3462","0.428974","0.422181","0.588393","0.609776","0.409355","0.413125","fnsq@@DQZAIeeV]WyVQgAjujB@@HjjB@@","O=C(NCc1ccccc1)c1ccc(CN2CCNCC2)cc1"
"decoy_3463","0.42842","0.544562","0.639306","0.689257","0.457989","0.525538","fhiqb@LDuAE`AFRRFIIIJEZMxJuUUUUTEH@","O=S(=O)(NC[C@H]1CCCO1)N1CCCNCC1"
"decoy_3464","0.294941","0.3571","0.607478","0.635597","0.369433","0.387494","foAhb@LJtZtD@BLddJbbRRtxuejBPXH@@","O=S(=O)(Nc1cn[nH]c1)c1cncnc1"
"decoy_3465","0.238298","0.292166","0.47287","0.536803","0.312441","0.357835","fjch@@@PISbTnlltno`bcArdlmMPUAQTPHTP","c1ccc2c(c1)CC1(CCCCC1)N/C2=N\n1cnnc1"
"decoy_3466","0.410673","0.502906","0.59367","0.710411","0.428076","0.481686","fnkIB@DX]xh@aIfUYuggXVkAcfkVjjBBbijJ@@","O=C1CNC2(CCN(C(=S)Nc3ccccc3)CC2)N1C1CC1"
"decoy_3467","0.380374","0.413344","0.711356","0.676547","0.417898","0.412969","flui@@AZCEHDieU~VUyIpXihHH`BIB@@","c1ccc(OCCNc2ncnc3[nH]ncc23)cc1"
"decoy_3468","0.35971","0.345295","0.679587","0.585828","0.408598","0.366136","fa{q@@DAbCHheEDdeiXdddjqgIrwkT@@@UKRaP@@","O=C(Nc1cccc(C2N=c3ccccc3=N2)c1)c1ccccc1"
"decoy_3469","0.320687","0.404406","0.73453","0.771567","0.371707","0.410016","f`q``@D@ydTTRbjbRXIwfjfh@H@@","O=C1CCCC(=O)N1CCc1ccccc1"
"decoy_347","0.291557","0.324033","0.488297","0.560972","0.345237","0.373329","feg@p@@LexKTieeW]UVUqZJt\zB`hjjhH@`@@","c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2"
"decoy_3470","0.27673","0.344871","0.475325","0.503851","0.329354","0.343972","fhiab@LPPD@QddaTRRbrrk^BmPPTUD@@","O=S(=O)(NCC1CCOCC1)c1ccccc1"
"decoy_3471","0.253923","0.350796","0.443548","0.555987","0.294424","0.339033","fhyPb@LLux@PeKjlrm`e`n}RuPPTQ@@@","c1cc(CNCc2cscn2)c2c(c1)OCO2"
"decoy_3472","0.320895","0.40321","0.559084","0.592704","0.366895","0.394903","foAP`@DT@kHheDbhdf\lyjjjjZQaRP@","O=C1NCCC[C@H]1NC[C@H]1CCC=CO1"
"decoy_3473","0.327977","0.377836","0.745055","0.726113","0.371349","0.382446","flup@@@XTeJ|k^rnBRuEKS@DT@D@@@","c1ccc(CNc2cccc(-n3ccnc3)c2)cc1"
"decoy_3474","0.283561","0.325526","0.456687","0.496108","0.320164","0.331679","fagp@@@PXeKjlrsZkxIYu`y[WluUUT@@@MA`ReKH@","c1ccc2c(c1)[C@H]1C[C@H](CNCc3cn[nH]c3)[C@@H]2c2ccccc21"
"decoy_3475","0.312585","0.375395","0.592872","0.609042","0.349593","0.370479","fbmP`@DTAiIefyY]^gOIcejj`P@@`QaD`@","O=C1N[C@H](c2ccccc2)C(=O)N[C@@H]1c1ccccc1"
"decoy_3476","0.344494","0.432033","0.573008","0.642172","0.374759","0.439383","fbmQb@LQ`cH@cIIBhhddmBmiuoQRmP@@ATa@@@","O=C1Cc2cc(NS(=O)(=O)c3ccccc3)ccc2N1"
"decoy_3477","0.342256","0.38704","0.459673","0.541204","0.361722","0.380402","ffsh`@DZLFHDyEDiDhdh\eKIZTXLRuZjjjZijidXeH@","O=C(C1CC1)N1C[C@H]2CNC[C@@]2(C(=O)NCC2=CN=NC2)C1"
"decoy_3478","0.335021","0.378331","0.542748","0.551656","0.367581","0.390665","ff}q`@DXH@QdfUV[U^u\DmVji```@@@@","O=C(COc1ccccc1)NNC(=O)NCc1ccccc1"
"decoy_3479","0.381735","0.47883","0.599176","0.646417","0.40727","0.445629","fdeHB@HXXX@PeKkJ{JxHkPXtmUUUUT@@","c1snnc1CN1CCC(N2CCCCC2)CC1"
"decoy_348","0.324226","0.449162","0.6223","0.752254","0.390146","0.472601","fb}Q@@BQ@dsJv{ljrWAFlgKURuK@ATPQ@@","O=C1CCCC2=c3cc(-c4cccnc4)ccc3=N[C@H]12"
"decoy_3480","0.27077","0.439077","0.561975","0.742565","0.343342","0.462023","f`qIA@LDd[`@cpPeLZlnJN}SLuTmP@@","O=C(CNCc1cscn1)Nc1nccs1"
"decoy_3481","0.30095","0.40984","0.598861","0.751145","0.334195","0.387681","fhya`@L@PYIeUWYTeAR|Ej`BjjBai@@","O=c1[nH]c2ccc(C[C@H]3CCCCO3)cc2o1"
"decoy_3482","0.32269","0.381014","0.689897","0.693375","0.37658","0.397728","fluQ@@D\AdTRbbRRtJRkF]EKT@@@@@@@@","O=C(Nc1ccc2ccccc2n1)c1ccccc1"
"decoy_3483","0.355897","0.449305","0.589486","0.626769","0.386216","0.42376","flepQ@LDMA@X`BOAFRRFIIKZJJRuyJuUUURu@@@","O=C1CSC(=O)N1CCNS(=O)(=O)N1CCCCC1"
"decoy_3484","0.395521","0.408013","0.642472","0.653167","0.460228","0.481368","fmIB@LTyHh@aJYnyU]wVUqPwkNSfZzj`hEJV`@bcDHbLP@","C1=c2cc(Oc3ccccc3)ccc2=N[C@H]1[C@@H]1NN[C@@H](c2ccccn2)S1"
"decoy_3485","0.352031","0.391517","0.766604","0.727686","0.42717","0.449959","f`iHA@AZmx@PpHRe]YYWACV]zej@`jD@@","c1nc(SCc2ccsc2)c2[nH]cnc2n1"
"decoy_3486","0.304805","0.347282","0.624245","0.609693","0.339743","0.359215","fhyQB@BJp@HRf[U^uIRVoAifjjjj`@@","O=c1sc2c(n1CN1CCCCC1)CCCC2"
"decoy_3487","0.398031","0.424908","0.724561","0.641177","0.424493","0.413907","fhyqB@NRtp@QdbbTJVTRQJBexMRsUUUL@@","c1csc(-c2nnc(CN3CCCCC3)o2)c1"
"decoy_3488","0.316824","0.376651","0.688038","0.695045","0.373555","0.392144","fdeq@@DDlCHheEDeDlbivkAbuAP@`A@@@","O=C(Nn1cnc2ccccc21)c1ccccc1"
"decoy_3489","0.4441","0.520637","0.697558","0.759941","0.503359","0.57068","fj}p`@DX\BrSL{Jk|jQagYJuUUUT@E@@@","O=C1NC2(CCNCC2)CN1CCCOc1ccccc1"
"decoy_349","0.344447","0.511317","0.558627","0.757507","0.377706","0.509329","fhyq@@FZBCIEDhlThdjLxKpZjjjjjiDIa@@","C1C[C@H]2OCCN(CCN3CCNCC3)[C@@H]2C1"
"decoy_3490","0.313751","0.379366","0.634008","0.654773","0.401482","0.436523","foAqb@LRUAE`AFRREQIJERUYruSLtt@@","O=S(=O)(NCc1ccoc1)c1cn[nH]c1"
"decoy_3491","0.286534","0.356453","0.566847","0.593322","0.332553","0.350644","fluab@LPQD@QddabbbRLVTeVCEJuPUAQTTMH@","O=S(=O)(c1ccccc1)N(C[C@H]1CCOC1)C1CC1"
"decoy_3492","0.381698","0.422357","0.66649","0.712396","0.419298","0.437977","fakP`@FBAyJY}Ue[vUqQpV}ifZ`BJ@B@DFP","C(=N/Cc1ccco1)\NCc1cccc(OCc2ccccc2)c1"
"decoy_3493","0.219111","0.288985","0.431287","0.476327","0.27737","0.305721","fgAPB@LL@DIRzsLxHhvkTmUUURNHT@@","c1nc(C[N@]2[C@H]3CCC[C@@H]2CC3)cs1"
"decoy_3494","0.302991","0.375954","0.63914","0.668436","0.358317","0.386959","fluq@@DT\CHhdhhdhed]^LzJVjB`A@B@@@","O=C(Cn1cnc2ccccc21)Nc1ccccc1"
"decoy_3495","0.359785","0.363424","0.557177","0.576659","0.371454","0.380385","fi{H`@DTYXB\bbTRRTrRVabRekt^cZ````a`@@@@","O=C(NCCCNC(=O)c1ncc2ccccc2n1)c1ccccc1"
"decoy_3496","0.332732","0.395354","0.601084","0.603158","0.369653","0.374794","fbmQ@@DR@drsZk|kSfkIrtuULp@LPp`@","O=C1N=c2ccccc2=C[C@@H]1CNCc1ccccc1"
"decoy_3497","0.361055","0.453093","0.573983","0.604691","0.3765","0.408553","fluPR@L^`apPAFRREQPiSQYLyjtTkUPACUQ@@@","O=C1NCCOc2ccc(NS(=O)(=O)C3CC3)cc21"
"decoy_3498","0.427282","0.405444","0.641814","0.656561","0.450313","0.458197","fewp`@DLrANQQQQIIYJGSJIJQkN|D\vjjjjjZ@BhQa^`@","O=C(Nc1ccccc1)[C@@H]1CC12CCN(C(=O)[C@H]1CCCCCN1)CC2"
"decoy_3499","0.322102","0.380469","0.705053","0.703639","0.375062","0.37967","f`qQ@@DN@drljsjkN|uHPLRPHD`","O=C(/C=C/c1cc[nH]c1)Nc1ccccc1"
"decoy_35","0.244214","0.354556","0.635788","0.807455","0.344229","0.443862","f`iq@@F\LAJY}fU|TTYwjYZ`PJ@Pi@","C(=N/n1cnc2ccccc21)\c1ccco1"
"decoy_350","0.287884","0.39289","0.654252","0.765022","0.34716","0.392702","f`ipB@LDh@HrQQQIIZEBthsoT@@@UA@@@","c1cnc(Sc2ccc3c(n2)CCC3)nc1"
"decoy_3500","0.307154","0.386464","0.504557","0.528927","0.300214","0.316414","fduQ@@FJAdbbTVLRTrhs`kNCFjjh@JjIDIa@@","c1cc2c(nc1N1CCO[C@@H]3CCC[C@H]31)CCC2"
"decoy_3501","0.318235","0.383421","0.666267","0.672981","0.379308","0.384985","fhiQ`@DD@jvQQJIIQFYRMxKTDCDtH@@","O=C(NNC(=O)c1ccco1)c1ccccc1"
"decoy_3502","0.408496","0.403155","0.68145","0.622627","0.433678","0.426868","figI`@LJKTBCILjkk\kkJR`iQSt[U@EL@EThD@@","O=C(Nc1ccc2oc(=O)[nH]c2c1)c1ccc(Cn2cccn2)cc1"
"decoy_3503","0.315104","0.361101","0.650075","0.654598","0.368165","0.396394","fdeP@D@ZAJUJsssoPVgAbDEEPHABLId@@","C1=C[C@H](c2ccccc2)[C@@H]([n+]2ccccc2)CN1"
"decoy_3504","0.35573","0.384167","0.653913","0.593217","0.404126","0.377942","fjsh@D@TYrHIrRQIIQZVIQEdnJyhL\ejjjjPhBj@@@","C1=C(C[N+]23CN4CN(CN(C4)C2)C3)c2ccccc2NC1"
"decoy_3505","0.490721","0.599397","0.716141","0.765974","0.553136","0.623209","fhiQb@LR`bp@cIIBhddmLeF|EZjjjjiAIi@@","O=S(=O)(NCC[C@H]1CCCO1)[C@@H]1CCCNC1"
"decoy_3506","0.364277","0.393788","0.646615","0.611079","0.388943","0.390948","fj}qb@BAscc`AFRJJEZIKIQIDhZvRuLl@E@A@BED","O=C1N=C(O)S/C1=C\c1ccc(Oc2cnccn2)cc1"
"decoy_3507","0.401436","0.362272","0.858117","0.715406","0.434205","0.377448","feop@@@TGdbbbbTVNTTRRVYrUeFjOlpJBjj`@@@dHVP@","c1ccc([C@H]2CCc3nc4c(ccn4Cc4ccncc4)cc3C2)cc1"
"decoy_3508","0.362052","0.418563","0.607861","0.608739","0.385392","0.411858","fbmpQ@LNSAD\`BNAFRRFJIIJqJIUmFBeZjZjjYf@@","O=C1NC(=O)C2(CCN(S(=O)(=O)c3cccs3)CC2)N1"
"decoy_3509","0.276728","0.415424","0.594428","0.740298","0.342364","0.433737","f`iI@@HDuXFRIQZJIIGAMF]zfj`TBaBIR@@","C1=C[C@@H]([C@@H]2NC(c3cccnc3)=NO2)C=N1"
"decoy_351","0.289558","0.424017","0.531956","0.695166","0.326903","0.422448","fdyq@@DXDAIeUfUWlGtVjh@@@@@@","O=C(NCc1ccccc1)NCc1ccccn1"
"decoy_3510","0.396385","0.48592","0.604866","0.692323","0.427463","0.496653","ffcpb@LAkA@@cIIBhhddlUDeiuoEjmP@@AUTD@@","O=S(=O)(Nc1ccc(N2CCNCC2)cc1)c1ccccc1"
"decoy_3511","0.343357","0.400109","0.680738","0.680137","0.430556","0.426407","fluaP@D@YJwlbbRbLRRtRipuhiZijjjZiPIF`@","O=C1CC([C@H]2C[C@H](c3ccco3)OCO2)CC(=O)N1"
"decoy_3512","0.264845","0.432522","0.543501","0.771134","0.319967","0.42951","fhyh@@@XIPVRJJIQPiHlxZw``TETmQP@@","c1cnn(-c2nccc(N3CCCCC3)n2)c1"
"decoy_3513","0.332682","0.400394","0.524012","0.588594","0.342662","0.399476","fakPQ@F}`cEPABPcIIBhhdheeXeEks`eZmP@A@MSHPHA`","[H]/N=C1\NC(=O)/C(=C\c2ccccc2OS(=O)(=O)c2ccccc2)S1"
"decoy_3514","0.374347","0.305301","0.576091","0.499035","0.397524","0.334548","figyB@LDYIQkB@DISJmjnr}jsfcQst]MSMUMT@DpBCh","C(=N/Nc1nc(SCc2nnc(C3CCC3)o2)n[nH]1)\c1ccccc1"
"decoy_3515","0.422278","0.450709","0.604561","0.651623","0.481109","0.457848","fnkh`@DZLFHDyEDiDhdh\eDYKRcQKUkUUUPPLUQHqJP@","O=C(C1CC1)N1C[C@H]2CNC[C@@]2(C(=O)NCc2cncnc2)C1"
"decoy_3516","0.44183","0.438516","0.855261","0.75524","0.478366","0.444816","fbmI@@DZ|dFQQJJIIKEQIUcNSej@@@JeB@@","O=C(Nc1ccc(-n2ccnc2)nc1)c1ccccc1"
"decoy_3517","0.418216","0.517245","0.818217","0.850872","0.465004","0.491165","flua`@C@Y{IEDhbldeDjLEJJZB`JjfhP@@","c1coc(CNCCc2ccc3c(c2)OCCO3)c1"
"decoy_3518","0.271313","0.376453","0.498822","0.582575","0.313692","0.360839","fbmqb@LNSAFPAFRREQQIISY[WkAbeZfBPXeb@@","O=C1N=c2ccc(S(=O)(=O)Nc3ccccc3)cc2=N1"
"decoy_3519","0.371069","0.438373","0.623291","0.656069","0.398368","0.403055","fbmPP@DV@Hp\bbbbbqaRbSIRtgKUTuMUUUcBeOH@","O=C(CN1C(=O)[C@H]2CC[C@H](C2)C1=O)NC[C@H]1CCCO1"
"decoy_352","0.221729","0.275747","0.591787","0.595856","0.346435","0.361833","f`y@@@LdbbTQVRUNLdkSoADTT@PBLSd@@","c1ccc2c(c1)C[C@H]1c3ccccc3C[C@@H]21"
"decoy_3520","0.333361","0.470006","0.520773","0.742548","0.37113","0.493416","ffcp@@@B]dbbRJTRVRbRhrsbu@`jjj`@H@@","c1ccc(CN2CCC(NCCc3ccccn3)CC2)cc1"
"decoy_3521","0.304126","0.368492","0.64081","0.664831","0.363392","0.393171","fdeX@@@PPqUdiWVYYwAC^CEjjBBaT`@@","c1ccc(-n2cccn2)c(NCc2c[nH]nn2)c1"
"decoy_3522","0.224657","0.29104","0.452518","0.476305","0.283469","0.299907","foA``@D@ydTTRTJRQFV\uTuUU@@@","O=C1CCC(=O)N1C1CCCCCCC1"
"decoy_3523","0.314578","0.402555","0.517196","0.59645","0.365261","0.435867","fakHR@LT\FBMM@DYIHUDdhcLhddeVcfoUjBAahHDH@@","O=C(NNS(=O)(=O)c1ccccc1)c1n[nH]c(=O)c2ccccc12"
"decoy_3524","0.290635","0.408334","0.711739","0.883312","0.355907","0.441685","foQqA@FBu@@PXHRkWYUZLUjsfjjVji@@","[O-][S+]1CCN(c2cn3ccsc3n2)CC1"
"decoy_3525","0.321088","0.352783","0.562686","0.671694","0.374406","0.398866","fnsq@@DTbAIeYUg_YUUoAjuj``@@jjB@@","O=C(CNc1ccc(N2CCCCC2)cc1)Nc1ccccc1"
