"Compound","Tanimoto_SC_ref0_DB","Tanimoto_SC_ref1_DB","Tversky_SC_ref0_DB","Tversky_SC_ref1_DB","Carbó_SC_ref0_DB","Carbó_SC_ref1_DB","DockingScore","Structure of SMILES [idcode]","SMILES"
"decoy_2060","0.302291","0.274631","0.547539","0.467729","0.34973","0.32189","-5.611","foQpB@LBT@HrQQIZEQHeNBlz`PJjh`@@","c1cc2cnc(CN3CCCC3)nc2s1"
"decoy_2061","0.331811","0.339838","0.487112","0.589596","0.377868","0.390305","-5.118","fbmQ@@DVAdTRbRTVbtQd[pTyZjjjjjjd\Rd@","O=C(NC[C@H]1CCC[N@@]2CCCC[C@H]12)C1CCCCC1"
"decoy_2062","0.252604","0.241575","0.536876","0.478879","0.321646","0.30559","-5.125","fdeP`@DZAQIe[UvUhrR`qZh@J@B@@@","O=C1COc2ccc(Nc3ccccc3)cc2N1"
"decoy_2063","0.223774","0.255056","0.447423","0.462344","0.305321","0.311525","-5.762","fhiX`@DTYpS`JrJIJEJZIJcOAZjZX@DAAd@","O=C1CN=N/C(=N\NC(=O)c2cccnc2)N1"
"decoy_2064","0.226499","0.219215","0.380478","0.358001","0.302697","0.276503","-5.599","fa{p@@@XReLkwLjm{ty{LRmzDDT@@@@@AAb@@","c1ccc([C@H](Nc2ccccn2)c2ccc3cccnc3c2)cc1"
"decoy_2066","0.349831","0.309332","0.621751","0.532358","0.401528","0.356298","-5.556","flup`@ANbAVRJIIIEIJIXirTTtDBUURq@@@","[H]/N=C1/COc2cc(OCCCn3ccnc3)ccc21"
"decoy_2067","0.279119","0.246887","0.482465","0.387622","0.366397","0.328093","-6.203","fdyab@NPQh@QddaRrRRbRhpLUjjjjjjED@","O=S1(=O)CC[C@H](NCCCOC2CCCCC2)C1"
"decoy_2068","0.192545","0.231417","0.332972","0.384689","0.261236","0.283077","-6.175","figpb@LDUJp@cIEEDeEEBeBdeaNuxoVcijefY`dDjHHP@","O=C1CC=NC(S[C@@H]2C(=O)N=c3ccccc3=C2c2ccccc2)=N1"
"decoy_2069","0.285036","0.261151","0.416162","0.396339","0.340022","0.311328","-5.567","fnsHP@DXUxGHyrJJIHiQIYSQHcG^jujijjjZZi@@","O=C(c1ccco1)N1CCN(CCCN2C(=O)CNC2=O)CC1"
"decoy_2070","0.232732","0.216044","0.386898","0.343354","0.299927","0.271703","-6.322","fa{H@@@X]gIEDeihhddmBeSgdqJwhPQP@@@@@DFH@","c1ccc(N[C@H](c2cccnc2)c2ccc3cccnc3c2)nc1"
"decoy_2071","0.127668","0.118972","0.286852","0.246064","0.213922","0.192347","-5.279","fjcI@@HirTBTrsZ}rkPTmQSdmRmUTrsUTAREH","C1=C[C@@H](c2cn[nH]c2)C2=C(O1)/C(=C/c1cn[nH]c1)CCC2"
"decoy_2072","0.184437","0.219381","0.377983","0.383472","0.265505","0.267647","-3.43","fhyPa@AZ``@QpHrRPiIIJYJcAR|EZjjP@hQRLP@","[H]/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1ccccc1"
"decoy_2073","0.262874","0.277712","0.524754","0.522191","0.338179","0.34325","-5.548","ffch@@@XIRRTsK|joZtxxIZ`QEAA@@@@@@","c1ccc(CNCc2ncnc(Nc3ccccc3)n2)cc1"
"decoy_2075","0.154305","0.137766","0.40187","0.323839","0.249509","0.215417","-4.334","fdupb@LDCZH@aJYWyVuIQgCN|FfZ`BJYH@@","O=c1[nH]c2ccc(-c3cn4ccsc4n3)cc2o1"
"decoy_2076","0.21658","0.240947","0.385647","0.382177","0.301524","0.306189","-5.903","f`qP@@@BRiU}YVgG^jjj`@`@@","c1ccc(CNCCN2CCCCC2)cc1"
"decoy_2077","0.230345","0.305229","0.50846","0.599264","0.324267","0.366945","-4.41","fdy`b@LPP@HrRPjIIKSIJLFJuAA@@@@@","O=S(=O)(NCCc1ccccc1)c1ccccc1"
"decoy_2078","0.201298","0.209958","0.317917","0.343373","0.27186","0.275598","-6.546","fdyPb@LQ``@QddaRbbRRR]GpUjjjjjh@@","O=S(=O)(CC1CCNCC1)NC1CCCCCC1"
"decoy_208","0.346388","0.337314","0.662579","0.600669","0.411192","0.379079","-5.414","fdyH`@DDEHEDfUVYU^p_QZj`@@@@@@","O=C(COc1ccccc1)NNc1ncccn1"
"decoy_2080","0.35273","0.273385","0.694585","0.486844","0.405231","0.312096","-5.532","fbmq@@DB\AIeeVUU^QoIcejB@@@@@@@","O=C(NCc1cccnc1)c1cnc2ccccc2c1"
"decoy_2081","0.352202","0.361824","0.582721","0.617836","0.43214","0.416588","-4.237","ffcq`@DTBAu\bbRTTTRVlRVkN|VkUUUUUUURFKb@@","O=C(C[N@@]1CCC[C@@H]1CN1CCOCC1)NC[C@H]1CCOC1"
"decoy_2082","0.384333","0.470739","0.681816","0.738649","0.440119","0.495202","-6.27","fluI@@DTmxFQQIQQQIJJfCYtTmTE@J@D@@@","O=C(Cn1ccnc1)Nc1cccc2ncccc12"
"decoy_2084","0.237234","0.257831","0.421821","0.425852","0.325498","0.312786","-4.434","figi@DD\dgHNSdTRbbRbRRrtJRgVBgOQmP@AAEH@A@@@","O=C(Nc1cccc[n+]1Cc1ccccc1)c1cnc2[nH]ncc2c1"
"decoy_2085","0.380652","0.398799","0.813899","0.776346","0.479371","0.452269","-5.878","foQa@@G@ReYeUrTUXsjhJBbb@@","c1ccc2c(c1)COCC21CCNCC1"
"decoy_2086","0.203357","0.193234","0.468337","0.404724","0.297686","0.268985","-4.893","fhiq`@DXTA`dfUgueZ\|EjfV`@`@@","O=C1NC(=O)C(=CNc2ccccc2)C(=O)N1"
"decoy_2087","0.25599","0.196308","0.765097","0.526595","0.368502","0.27782","-4.856","fgA`A@K@BIAFRJIQIKFcAZTZ`hIIbaR@@","[H]/N=C1\C=C2c3ccccc3SC[C@@H]2S1"
"decoy_2089","0.253052","0.220901","0.453797","0.353796","0.326726","0.276834","-6.25","fa{H@@@ZSuJYYefUWipTlmkt@@Bj@@@@BBd@","c1cncc([C@@H](Nc2ccncc2)c2ccc3cccnc3c2)c1"
"decoy_209","0.33235","0.284546","0.791314","0.444281","0.387847","0.324704","-4.992","foQ``@I@peMN}vxXIUgUUUUUUCd@@","C1CCN([C@H]2CCCC3(C2)OCCO3)C1"
"decoy_2090","0.219787","0.246722","0.373077","0.375053","0.30194","0.302738","-7.904","foAP`@DFASHheDdhTaRlyjjjjjQa\`@","O=C(NC[C@@H]1CCCNC1)[C@H]1CCCO1"
"decoy_2091","0.196485","0.208075","0.490006","0.462476","0.269761","0.27419","-4.071","foQPB@LV@DISOrmnJJuYuLp@UQ@@@","c1csc(Cc2ccc3c(c2)CCN3)n1"
"decoy_2092","0.279248","0.246413","0.443359","0.436358","0.342163","0.303494","-5.909","fa{Q@@CVAdbbTRbJtTRRVipVlmkv`bJJjjjhh@@","c1ccc2c(c1)C[C@@](CN1CCCCC1)(CN1CCCCC1)CO2"
"decoy_2093","0.215795","0.23189","0.440335","0.432883","0.319354","0.33643","-6.513","ffsI@@MFlxFRJIQKIPkJIJcAJ]xmZeZeZX@J`@@","N=c1ccc2cc(-c3n[nH]c(-c4ccccc4)n3)coc-2c1"
"decoy_2094","0.333049","0.281907","0.526829","0.465582","0.380171","0.322594","-5.443","ffcp`@DX\BjSJsJkJz][qZmUUUUUUU@@@","O=C(NC1CCCCC1)NC1CCN(C2CCOCC2)CC1"
"decoy_2095","0.233792","0.219425","0.512061","0.429215","0.312263","0.271883","-4.726","f`qpb@LBUA@@cIIBhhddmiuoKREAHdBAH","O=S(=O)(/N=c1\cccc[nH]1)c1cccnc1"
"decoy_2096","0.275166","0.309256","0.503558","0.503676","0.363343","0.359455","-5.25","foAp`@DXdCfQQQIEQIDYYsUSUUT@@","O=C1CNC(=O)N1CCN1CCCCC1"
"decoy_2098","0.280272","0.268155","0.550362","0.562261","0.341434","0.321147","-4.539","ec`\H@@DBM@DfVUWnU{Vudt\BRrZzVvZ`PbjjjjjJkaRFQqQSIUSjPLP","O=C(N/N=C/[C@@H]1CC[C@H]2[C@H]1CC[C@@H]1[C@@H]3CCCC[C@@H]3CC[C@@H]21)c1ccncc1"
"decoy_2099","0.33379","0.37011","0.735348","0.742363","0.437684","0.426204","-5.173","fde``@N@YdbbRJbbTVhrw`qjjj`bBaDHJ@@","c1ccc2c(c1)CCC[C@H]2NC[C@@H]1COCCO1"
"decoy_2100","0.2901","0.266082","0.646782","0.563282","0.365731","0.322126","-4.217","fbmq@@D^BCHheEDdebhdjqgIru@@@ERa@@@","O=C(Nc1ccc(-n2cccn2)cc1)c1ccccc1"
"decoy_2101","0.275073","0.272021","0.481308","0.435719","0.334756","0.323308","-5.258","f`i``@M@idbbTTqtRipRg^hHbJjb@@","c1cc2c(c(CN3CCCC3)c1)OCOC2"
"decoy_2102","0.286982","0.364908","0.452731","0.551164","0.343738","0.368684","-4.225","fnsQR@NZ`bS``BLddJVTrbbfaRhstZmVjijfZjjhTP@","O=C(CN1C(=O)CC2(CCCCC2)C1=O)N[C@H]1CCS(=O)(=O)C1"
"decoy_2103","0.260251","0.258763","0.484833","0.496078","0.326702","0.320168","-6.147","fbuQB@AZx@HReYewvUTYNZhFBF@@@PM@","O=C(CSCc1ccccc1)N/N=C/c1ccccc1"
"decoy_2104","0.204902","0.205276","0.394843","0.369268","0.288515","0.267659","-4.229","fa{H@@@XRUJYWnYU[wisvXe[tHHh@@@@@BCD@","c1ccc(N[C@@H](c2ccncc2)c2ccc3cccnc3c2)nc1"
"decoy_2106","0.173882","0.205271","0.323086","0.34739","0.257539","0.278535","-6.457","fiwX`@EZl{rPTRfUwUeUUWENBCGI^chHBZejVebj@YBT@","C(=N/NC1=N[C@@H]2N=c3ccccc3=C2N=N1)\c1ccc2c(c1)OCO2"
"decoy_2107","0.27846","0.326873","0.534486","0.557591","0.379042","0.392776","-8.968","foAP@@@LRe]UeRTlzjjh@H@@","c1ccc(CCNC2CCNCC2)cc1"
"decoy_2110","0.361068","0.271571","0.671056","0.513576","0.420145","0.328798","-5.273","feoh@@@XhYjTrsrko\l}ARtxM^cfDE@TD@@@D@@@","c1ccc2c(c1)CCN2c1cc(Nc2cccc3ncccc23)ncn1"
"decoy_2111","0.225109","0.247721","0.350769","0.382639","0.303556","0.309559","-6.203","fluqb@LD}AA`AFRRFIIQYZPrL{tTkUUUUUUPx`@","O=S(=O)(N[C@H]1CCNC2(CCC2)C1)N1CCOCC1"
"decoy_2112","0.229764","0.262494","0.451328","0.504484","0.298912","0.321531","-5.521","fj}Q`@DT@yJSJrkONvjp\iJuPP@PTPP@@","O=C(CNc1cccc2c1OCCO2)Nc1ccccc1"
"decoy_2113","0.24268","0.235313","0.612652","0.520234","0.354226","0.319565","-3.813","foQP`@D\AIIen^uHsdkNZZj@BcFIRLP@","O=C1N=C[C@@H]2ON[C@@H](c3ccccc3)[C@H]12"
"decoy_2114","0.314538","0.306455","0.694118","0.602753","0.390286","0.348564","-4.343","f`qq@@DB|AIeeV]yF]yjB@@@@@@","O=C(NCc1ccncc1)c1cccnc1"
"decoy_2117","0.37115","0.337011","0.574139","0.558305","0.430133","0.38131","-5.504","fakH`@DDxTDlbbRTTRqRbbRvcIJwkUSMUSURs@@@","O=C(CCCC1=c2ccccc2=NC1)NNC(=O)CC1=NCCC1"
"decoy_2118","0.355768","0.321917","0.615028","0.595016","0.404442","0.391505","-4.914","fewq@@DXbAIeYeUo_YWSkASd\vj@@@@B@@@@@","O=C(Nc1ccccc1)Nc1ccc2nc(-c3ccccc3)ccc2c1"
"decoy_2119","0.272268","0.227226","0.427981","0.352997","0.33345","0.292294","-7.44","fdyI@@D\DXBSKOjlkS`XmMSUUTtLJGH","O=C1N=CN=C[C@@H]1/C=N/CCCN1CCCCC1"
"decoy_2120","0.362662","0.327866","0.568014","0.533649","0.459185","0.405427","-4.382","fj}qb@LD}AA`AFRRFIIQYZPiRL{vRkUUUUUUUCb@@","O=S(=O)(N[C@H]1CCNC2(CCCCC2)C1)N1CCOCC1"
"decoy_2121","0.28603","0.252831","0.416976","0.41457","0.310909","0.277399","-6.767","ec`RH@HLCNe`CIRfYYW]mU~VbPPsQpii[Z`@HBHHHjV@hID@@","c1ccc([C@H]2c3ccccc3Oc3nc[n+](CCCn4ccnc4)cc32)cc1"
"decoy_2123","0.23443","0.225756","0.397186","0.384166","0.311084","0.301064","-5.198","flup@@@JuddTRRVJTRWERuEMUUUT@E@@@","c1ccc(CN2CCC(N3CCNCC3)CC2)cc1"
"decoy_2124","0.370343","0.379574","0.798837","0.751453","0.464749","0.42819","-6.159","f`i`@@@YHdlhheDRTtYwji`@@H@@@","C1=C(c2cccc3ccccc23)CCNC1"
"decoy_2125","0.384555","0.292231","0.689572","0.510868","0.419292","0.326434","-4.178","fnki`@DBuGH@urJJJJIKYFYQI`eVLzkVjAdDfffb@@","O=C(Nc1ccon1)c1cnc2nc3ccccn3c(=O)c2c1"
"decoy_2127","0.329187","0.318047","0.663586","0.63911","0.381134","0.355326","-5.856","fns``@D@hdrjlrjwnzH\uZuUP@@@@@@@@","O=C(COc1ccc2ccccc2c1)NCCc1ccccc1"
"decoy_2128","0.240389","0.260407","0.437486","0.43456","0.366368","0.331486","-5.523","fdeH`@DXMDBlbbbbRUTRQFBdFKUUSUUUPH`@","O=C1[C@@H]2CCCN2C(=O)N1CCN1CCNCC1"
"decoy_2129","0.194827","0.207298","0.472111","0.442011","0.266321","0.263402","-4.485","f`iaB@K^@DISOrmobbmV]SL@ESD@@","O=C1Cc2cc(Cc3cccs3)ccc2N1"
"decoy_213","0.116853","0.116118","0.227282","0.20689","0.190291","0.182217","-4.026","fa{Xb@LJMDmXH@DYIHUEDeDdhldm^]dmV}Vh@B@jITJ@@","O=S(=O)(Nc1ccccc1-n1cccn1)c1cnc2[nH]ncc2c1"
