"Compound","Tanimoto_SC_ref0_DB","Tanimoto_SC_ref1_DB","Tversky_SC_ref0_DB","Tversky_SC_ref1_DB","Carbó_SC_ref0_DB","Carbó_SC_ref1_DB","DockingScore","Structure of SMILES [idcode]","SMILES"
"decoy_4702","0.430879","0.346064","0.78219","0.667049","0.498847","0.414602","-2.971","fhiqB@FJ|H@PeL~vrkbg`tsSUUU@@@","O=C(C[N@]1CCCNCC1)NCc1cccs1"
"decoy_4704","0.396171","0.416144","0.633218","0.645192","0.466303","0.485157","-7.638","fdeI@@DRtXFQQJJIIIEIUmFCEjBPX@B@@@","O=C(Nc1cn[nH]c1)c1cnc2ccccc2c1"
"decoy_4707","0.45605","0.395282","0.758771","0.711996","0.576122","0.52279","-6.045","fnsQ`@DT@ZJSJrjwJjjkYZVkUAAPEAPD@@","O=C(CNCc1ccccc1)Nc1ccc2c(c1)OCCCO2"
"decoy_4709","0.257284","0.235841","0.57258","0.480196","0.330071","0.315059","-7.425","flmI`@DXdhCDyEDeDXhhd]Se`n|FKUMUUUKTPTeOPJ@@","O=C1[C@H]2CN3C[C@@H]1C[N@@](C2)[C@@H]3c1cc(=O)[nH]c(=O)[nH]1"
"decoy_471","0.393553","0.350611","0.726985","0.704883","0.465479","0.424117","-5.806","f`qab@LPQH@QddaRbbRRMzsejjjjj`q@@","O=S(=O)(C[C@H]1CCCO1)NC1CCCCC1"
"decoy_4711","0.416643","0.393162","0.693269","0.6122","0.476549","0.452258","-5.55","fhii@@DXIKPDfUYeUs^\Ejh@@@@@@","O=C(NNc1ccccn1)Nc1cccnc1"
"decoy_4713","0.366686","0.313775","0.66417","0.657088","0.414815","0.368725","-4.39","fj}qB@LL|T@PeKjlkkJxHZvRtmT@EUUD@@","c1nc(CNCc2ccc(CN3CCOCC3)cc2)cs1"
"decoy_4719","0.288302","0.270093","0.61888","0.578816","0.359852","0.343328","-5.133","f`qq@@DJ|CHheDdcDdJSoMUUUUT@@","O=C(NCCN1CCNCC1)C1CCCC1"
"decoy_4724","0.471869","0.473151","0.756565","0.841957","0.535263","0.547331","-4.382","ffcaP@M@PiM\bbTRRbNbRfTcQrVkTDCD@QPP@@","O=C(COC(=O)c1ccccc1)Nc1ccc2c(c1)OCO2"
"decoy_4725","0.297387","0.332288","0.648645","0.701996","0.382359","0.433447","-4.98","ffsPb@FVLD@QdbbtrbTRJfRqPRkNKVfZjfijjjHQ\`hi@@","O=C1NC(=O)[C@@H]2[C@H]1[C@H](c1cccs1)N[C@@H]2CC1CCCCC1"
"decoy_4727","0.467589","0.40685","0.730443","0.745182","0.484638","0.446939","-3.965","fdeH@@@XikIEDhldUDePTeAbDEET@A@@@","c1ccc(Nc2cc(N3CCCC3)ncn2)cc1"
"decoy_4730","0.299928","0.286866","0.699795","0.63916","0.369595","0.355147","-5.502","fdypb@LZcA@@cIIBhddmLdhpXkUUUUUP@@","O=S(=O)(NCCN1CCNCC1)C1CCCCC1"
