"Compound","Tanimoto_SC_ref0_AB","Tanimoto_SC_ref1_AB","Tversky_SC_ref0_AB","Tversky_SC_ref1_AB","Carbó_SC_ref0_AB","Carbó_SC_ref1_AB","Structure of SMILES [idcode]","SMILES"
"decoy_1750","0.404619","0.353837","0.610088","0.571696","0.463448","0.423406","ffspb@NBuA@@cIIBeheLeMLeQbcNBVjuUR@P@EABb@@","O=S1(=O)CC[C@H](n2ncc3ccc(-c4ccccc4)nc32)C1"
"decoy_1751","0.356272","0.404549","0.582678","0.648814","0.411508","0.463411","ffci@@C^SdhDieeew_eEipRuhH`ABIjAACT@","C(=N/Nc1nnc[nH]1)\c1ccccc1OCc1ccccc1"
"decoy_1752","0.331798","0.387722","0.6077","0.689932","0.407371","0.485109","fa{q@@DTBCHhdhbhdlhdlhsegYJwkUUP@P@UPP@@","O=C(CNCc1ccc(-c2ccc(C3CC3)cn2)cc1)NC1CC1"
"decoy_1753","0.405299","0.332224","0.783256","0.755747","0.470803","0.412204","fbm`b@KLL@HRfV]~vUIPRdyhFBIh@H@@@","O=C(COc1cccc2ccsc12)Nc1ccccc1"
"decoy_1754","0.321998","0.355429","0.543965","0.570241","0.398038","0.418608","fnkH`@DLRtA\bbbbRRrRRaVdYV`qKUjjiZiZfjdXWd@","NC1=C[C@H](C2CCN(C(=O)[C@H]3C=c4ccccc4=N3)CC2)NO1"
"decoy_1755","0.371768","0.429015","0.633004","0.705364","0.437223","0.505288","fmwQb@LI`bH@cIIBhhddmmLdhdmNmzZuj@@@Ij`@@@@","O=C(NCCc1ccccc1)c1ccc(S(=O)(=O)Nc2ccccc2)cc1"
"decoy_1756","0.423191","0.441673","0.683731","0.667328","0.46118","0.484863","fnsHP@DXjtDe^rJIJKJIIRiQJcKNjujfjZfjVfaR@@","O=C1NC(COC(=O)CCc2cn[nH]c2)=C[C@@H](c2ccco2)N1"
"decoy_1757","0.426188","0.400035","0.784901","0.801249","0.500365","0.48078","faka@@O@RfUYu_Ue^JLyoZB@@HjfjB@@","C1=C(CCNCc2ccc(OCc3ccccc3)cc2)CCCC1"
"decoy_1758","0.424377","0.438422","0.659076","0.711875","0.484917","0.501329","fjcPb@LT``G`eVjjj{JtYIUgYJuUUTl@EPPDXiQT@@","O=[P@@H]1NN2C[C@@H]3C=CC(c4ccccc4)=C[C@H]3C[C@@H]2CO1"
"decoy_1759","0.385044","0.387476","0.610348","0.640998","0.425988","0.446816","ffcab@EPPx@QddabRRttTrVehJRuV``bfA@H@@","O=c1ccc2ccccc2n1CCS(=O)(=O)c1ccccc1"
"decoy_176","0.353241","0.417958","0.613417","0.73897","0.419753","0.483375","egdR@@@@CLnldTTTRRVqRRTTRTuGDefcdqvup@@@PUU@@@@@@@@","c1cnc2c(NCCCCNc3c4ccccc4nc4ccccc34)cccc2c1"
"decoy_1760","0.430276","0.425556","0.698552","0.711873","0.499136","0.526307","ffcq@@DT|AIeYU^uUUFCDmVjBB@@@@@@@","O=C(CNCc1cnc2ccccc2c1)Nc1ccccc1"
"decoy_1761","0.303662","0.405316","0.567818","0.718671","0.383357","0.468385","fakq`@DVbBP\bbTTRRNRfTRTeFlwkTuSUSUUU@@@","O=C(CN1CCC(NC(=O)c2ccoc2)CC1)NC1CCCCC1"
"decoy_1762","0.364894","0.272651","0.603052","0.467523","0.372144","0.310773","dg~D`Bs`BLdTTJtRQT]uLl@DAEH","O=C1N=C(O)S/C1=C\c1ccccc1"
"decoy_1763","0.363378","0.391869","0.649901","0.75642","0.477138","0.512527","fegQ@@EN@eLjnljolkrPTcgPPQUUUP@D@@@","c1ccc(CCNCc2ccc(OCCCN3CCCCC3)cc2)cc1"
"decoy_1764","0.444795","0.316752","0.703436","0.518114","0.471999","0.355618","fb}I@@LLSdFRJIQPsIJKJdfB]ENZej``dZRaJ@@","C1=C[C@@H](c2cn[nH]c2)c2cnn(-c3ccccc3)c2O1"
"decoy_1765","0.295438","0.269777","0.54344","0.567353","0.360556","0.362481","fio`@@@YIEEDhhhdeddkqPcZben^uGTEQDEEAQPiQDyAQTM@@","C1=C[C@H]2c3cccc4c3N(C[C@@H]2C1)[C@@H](c1ccccc1)[C@@H]1CC=C[C@@H]41"
